Файл;Вариант;Задание 1;Задание 2;Задание 3;Задание 4;Задание 5;Задание 6;Задание 7;Задание 8;Задание 9;Задание 10
Информатика 2.docx;01;3;2;2;305919;247;271;45;5;572;239
Информатика 2.docx;02;4;5;22;458026;203;411;8;3;572;9
Информатика 2.docx;03;5;3;222;873195;239;411;45;4;431;27
Информатика 2.docx;04;3;2;111;208777;239;291;46;5;9;43
Информатика 2.docx;05;2;2;122;515382;239;361;49;4;661;75
Информатика 2.docx;06;2;2;2;434051;319;311;9;2;6;239
Информатика 2.docx;07;5;5;22;488599;271;231;0;3;496;9
Информатика 2.docx;08;5;3;222;363228;203;271;40;4;2606;27
Информатика 2.docx;09;2;2;111;396087;299;311;46;3;8;43
Информатика 2.docx;10;4;2;122;380732;207;271;49;5;49;75
Информатика 2.docx;11;5;2;2;339595;331;311;45;3;041;239
Информатика 2.docx;12;5;5;22;782872;279;311;44;2;87;9
Информатика 2.docx;13;2;3;222;492412;319;311;49;3;66;27
Информатика 2.docx;14;3;2;111;433740;287;511;40;2;2441;43
Информатика 2.docx;15;2;2;122;365312;335;271;40;5;661;75
Информатика 2.docx;16;4;2;2;411401;203;511;0;3;9;239
Информатика 2.docx;17;3;5;22;671914;203;231;9;2;320;9
Информатика 2.docx;18;2;3;222;697491;239;261;46;5;66;27
Информатика 2.docx;19;5;2;111;260245;284;311;46;4;236;43
Информатика 2.docx;20;2;2;122;388421;239;261;40;4;8;75
