Файл;Вариант;Задание 1;Задание 2;Задание 3;Задание 4;Задание 5;Задание 6;Задание 7;Задание 8;Задание 9;Задание 10
Информатика.docx;01;3;5;22;632433;335;511;45;2;42;9
Информатика.docx;02;2;3;222;376814;239;291;9;4;4;27
Информатика.docx;03;5;2;111;701165;239;361;8;3;87;43
Информатика.docx;04;2;2;122;372998;243;611;8;5;2441;75
Информатика.docx;05;2;2;2;566726;255;611;49;5;36;239
Информатика.docx;06;4;5;22;833670;239;411;8;2;87;9
Информатика.docx;07;3;3;222;338599;335;511;45;2;66;27
Информатика.docx;08;4;2;111;643745;299;351;40;3;292;43
Информатика.docx;09;2;2;122;290685;319;291;9;3;320;75
Информатика.docx;10;2;2;2;554562;239;261;45;5;3;239
Информатика.docx;11;3;5;22;660628;336;411;8;3;8;9
Информатика.docx;12;5;3;222;623012;203;351;9;4;4;27
Информатика.docx;13;4;2;111;234929;239;311;9;5;766;43
Информатика.docx;14;2;2;122;328997;291;511;46;5;041;75
Информатика.docx;15;2;2;2;423628;239;271;45;4;22;239
Информатика.docx;16;2;5;22;899544;256;361;46;3;49;9
Информатика.docx;17;4;3;222;445054;203;311;46;2;6;27
Информатика.docx;18;4;2;111;382685;335;291;9;4;2441;43
Информатика.docx;19;3;2;122;274526;239;311;45;3;21;75
Информатика.docx;20;5;2;2;303252;296;311;44;3;4422;239
