Файл;Вариант;Задание 1;Задание 2;Задание 3;Задание 4;Задание 5;Задание 6;Задание 7;Задание 8;Задание 9;Задание 10
Информационные технологии.docx;01;3;2;111;525621;239;361;45;2;2222;43
Информационные технологии.docx;02;4;2;122;735434;311;361;9;4;572;75
Информационные технологии.docx;03;3;2;2;439491;239;311;40;5;66;239
Информационные технологии.docx;04;2;5;22;350900;239;411;40;5;87;9
Информационные технологии.docx;05;5;3;222;332837;335;361;8;2;3;27
Информационные технологии.docx;06;2;2;111;477059;206;511;45;2;661;43
Информационные технологии.docx;07;4;2;122;233752;239;271;49;3;27;75
Информационные технологии.docx;08;4;2;2;255743;255;261;9;2;0;239
Информационные технологии.docx;09;2;5;22;406959;323;291;9;5;3872;9
Информационные технологии.docx;10;2;3;222;292808;332;291;8;2;2606;27
Информационные технологии.docx;11;3;2;111;754879;287;361;46;5;42;43
Информационные технологии.docx;12;5;2;122;512470;203;311;0;3;90;75
Информационные технологии.docx;13;3;2;2;538617;203;311;40;2;3411;239
Информационные технологии.docx;14;5;5;22;524899;259;271;45;4;041;9
Информационные технологии.docx;15;2;3;222;334708;203;311;45;4;31;27
Информационные технологии.docx;16;5;2;111;252334;255;261;45;5;27;43
Информационные технологии.docx;17;5;2;122;299317;252;611;49;5;261;75
Информационные технологии.docx;18;2;2;2;316427;287;271;49;3;9;239
Информационные технологии.docx;19;4;5;22;267421;271;611;0;3;27;9
Информационные технологии.docx;20;2;3;222;546097;319;311;45;2;4;27
